Gene_ID	par_rep1	par_rep2	per_rep1	per_rep2	per_rep3
ENSG00000233421.3	0	0	0	0	0
ENSG00000268674.1	0	0	0	0	0
ENSG00000225710.1	1	0	0	0	0
ENSG00000266584.1	0	0	0	0	0
ENSG00000219481.6	8178	8383	7359	8010	7854
ENSG00000271732.1	5	0	3	3	3
ENSG00000215908.5	1315	1523	2380	2746	2676
ENSG00000186301.7	50	55	184	242	270
ENSG00000207513.1	0	0	0	0	0
ENSG00000237847.2	0	0	0	0	0
ENSG00000264742.1	0	0	0	0	0
ENSG00000236698.1	59	58	38	37	33
ENSG00000268869.1	50	43	15	30	20
ENSG00000268991.1	0	0	0	0	0
ENSG00000058453.12	1511	1336	2572	3085	3104
ENSG00000207389.1	0	0	0	0	0
ENSG00000227684.1	1	0	0	1	1
ENSG00000186715.6	18	30	126	168	140
ENSG00000223643.2	0	0	0	0	0
ENSG00000230239.1	0	0	1	1	0
ENSG00000263811.1	0	0	0	0	0
ENSG00000228549.2	0	0	0	0	0
ENSG00000238142.1	0	0	0	0	0
ENSG00000235241.1	0	0	0	0	0
ENSG00000207005.1	0	0	0	0	0
ENSG00000272426.1	7	11	10	10	9
ENSG00000117122.9	3	0	2	0	1
ENSG00000226526.1	1	1	0	2	2
ENSG00000159363.13	2179	2078	3147	3664	3390
ENSG00000117118.5	7791	7816	4098	4174	3801
ENSG00000117115.8	34691	33578	9692	10448	10056
ENSG00000252180.1	0	0	0	0	0
ENSG00000204362.5	2	8	8	13	11
ENSG00000142623.8	151	146	109	92	72
ENSG00000142619.4	239	234	42	47	40
ENSG00000266634.1	1	0	0	0	0
ENSG00000159339.9	2	6	3	3	3
ENSG00000269468.1	0	0	2	1	0
ENSG00000256049.2	3	4	5	3	2
ENSG00000227751.1	0	0	0	0	0
ENSG00000179051.9	22582	22351	19120	20422	19292
ENSG00000266727.1	0	0	0	0	0
ENSG00000239020.1	0	0	0	0	0
ENSG00000074964.12	2742	2585	2959	3713	3458
ENSG00000236648.1	0	0	0	0	0
ENSG00000117148.6	88	78	3	6	1
ENSG00000261781.1	0	0	0	0	0
ENSG00000117154.7	82	78	195	193	202
ENSG00000230035.2	0	0	0	0	0
ENSG00000225387.1	0	0	0	0	0
ENSG00000179023.7	329	304	113	191	176
ENSG00000235282.2	2	1	0	0	0
ENSG00000225478.2	0	0	0	0	0
ENSG00000009709.7	1	1	0	1	1
ENSG00000179002.5	0	0	0	0	0
ENSG00000255275.3	1	1	1	3	2
ENSG00000159423.12	7561	7018	3756	3685	3538
ENSG00000265606.1	0	0	0	0	0
ENSG00000221662.1	0	0	0	0	1
ENSG00000169991.6	2983	3080	2470	2776	2684
ENSG00000272084.1	51	35	74	53	57
ENSG00000127481.10	25728	27380	32065	34756	27237
ENSG00000266098.1	10	4	4	13	14
ENSG00000230424.1	12	11	16	27	9
ENSG00000127463.9	8371	8476	6246	6904	6095
ENSG00000053372.4	6541	6528	3260	3302	3131
ENSG00000211454.9	120	111	132	155	148
ENSG00000162482.4	116	112	125	181	157
ENSG00000270728.1	172	179	147	184	146
ENSG00000053371.8	4418	4316	2632	2939	2706
ENSG00000200403.1	10	8	6	11	4
ENSG00000040487.8	2136	2124	1945	2192	2045
ENSG00000265192.1	2	3	1	2	3
ENSG00000077549.13	19657	19278	12049	12398	11229
ENSG00000240490.2	2	0	0	0	2
ENSG00000201609.1	0	0	0	0	0
ENSG00000239027.1	0	0	0	0	0
ENSG00000235185.1	1	0	0	0	0
ENSG00000270136.1	2	1	0	0	0
ENSG00000173436.9	1112	1074	939	887	818
ENSG00000226396.1	57	55	71	59	68
